time,open,high,low,close,tick_volume,spread,real_volume
2025-03-29 03:36:00,4913.179,4913.45,4913.179,4913.45,58,490,0
2025-03-29 03:37:00,4913.458,4913.74,4913.458,4913.74,56,490,0
2025-03-29 03:38:00,4913.741,4913.993,4913.741,4913.993,57,490,0
2025-03-29 03:39:00,4913.994,4914.279,4913.994,4914.279,54,490,0
2025-03-29 03:40:00,4914.286,4914.546,4914.286,4914.546,53,490,0
2025-03-29 03:41:00,4914.55,4914.785,4914.55,4914.785,59,490,0
2025-03-29 03:42:00,4914.788,4915.087,4914.788,4915.087,56,490,0
2025-03-29 03:43:00,4915.087,4915.352,4915.087,4915.352,57,490,0
2025-03-29 03:44:00,4915.366,4915.673,4915.366,4915.673,58,490,0
2025-03-29 03:45:00,4915.673,4915.973,4915.673,4915.973,55,490,0
2025-03-29 03:46:00,4915.98,4916.269,4915.98,4916.269,56,490,0
2025-03-29 03:47:00,4916.273,4916.598,4916.273,4916.598,56,490,0
2025-03-29 03:48:00,4916.6,4916.883,4916.6,4916.883,58,490,0
2025-03-29 03:49:00,4916.89,4917.183,4916.89,4917.183,58,490,0
2025-03-29 03:50:00,4917.189,4917.465,4917.189,4917.465,59,490,0
2025-03-29 03:51:00,4917.473,4917.746,4917.473,4917.746,56,490,0
2025-03-29 03:52:00,4917.753,4918.082,4917.753,4918.082,53,490,0
2025-03-29 03:53:00,4918.09,4918.346,4918.09,4918.346,57,490,0
2025-03-29 03:54:00,4918.347,4918.618,4918.347,4918.618,58,490,0
2025-03-29 03:55:00,4918.623,4918.917,4918.623,4918.917,57,490,0
2025-03-29 03:56:00,4918.924,4919.251,4918.924,4919.251,59,490,0
2025-03-29 03:57:00,4919.259,4919.507,4919.259,4919.507,55,490,0
2025-03-29 03:58:00,4919.522,4919.707,4918.909,4919.006,57,490,0
2025-03-29 03:59:00,4919.011,4919.311,4919.011,4919.311,57,490,0
2025-03-29 04:00:00,4919.314,4919.606,4919.314,4919.606,58,490,0
2025-03-29 04:01:00,4919.606,4919.857,4919.606,4919.857,56,490,0
2025-03-29 04:02:00,4919.859,4920.149,4919.859,4920.149,57,490,0
2025-03-29 04:03:00,4920.155,4920.448,4920.155,4920.448,54,490,0
2025-03-29 04:04:00,4920.46,4920.754,4920.46,4920.754,56,490,0
2025-03-29 04:05:00,4920.754,4921.084,4920.754,4921.084,56,490,0
2025-03-29 04:06:00,4921.089,4921.4,4921.089,4921.4,55,490,0
2025-03-29 04:07:00,4921.412,4921.663,4921.412,4921.663,54,490,0
2025-03-29 04:08:00,4921.673,4922.016,4921.673,4922.016,58,490,0
2025-03-29 04:09:00,4922.019,4922.368,4922.019,4922.368,59,490,0
2025-03-29 04:10:00,4922.37,4922.674,4922.37,4922.674,58,490,0
2025-03-29 04:11:00,4922.675,4922.96,4922.675,4922.96,55,490,0
2025-03-29 04:12:00,4922.972,4923.027,4921.861,4922.119,58,490,0
2025-03-29 04:13:00,4922.12,4922.399,4922.12,4922.399,58,490,0
2025-03-29 04:14:00,4922.4,4922.664,4922.4,4922.664,54,490,0
2025-03-29 04:15:00,4922.668,4922.972,4922.668,4922.972,58,490,0
2025-03-29 04:16:00,4922.976,4923.212,4922.976,4923.212,54,490,0
2025-03-29 04:17:00,4923.212,4923.501,4923.212,4923.501,55,490,0
2025-03-29 04:18:00,4923.503,4923.83,4923.503,4923.83,59,490,0
2025-03-29 04:19:00,4923.835,4924.114,4923.835,4924.114,56,490,0
2025-03-29 04:20:00,4924.122,4924.402,4924.122,4924.402,56,490,0
2025-03-29 04:21:00,4924.411,4924.648,4924.411,4924.648,55,490,0
2025-03-29 04:22:00,4924.655,4924.936,4924.655,4924.936,57,490,0
2025-03-29 04:23:00,4924.947,4925.209,4924.947,4925.209,57,490,0
2025-03-29 04:24:00,4925.211,4925.445,4913.039,4913.064,59,490,0
2025-03-29 04:25:00,4913.074,4913.369,4913.074,4913.369,56,490,0
2025-03-29 04:26:00,4913.37,4913.687,4913.37,4913.687,58,490,0
2025-03-29 04:27:00,4913.691,4913.848,4911.766,4911.814,54,490,0
2025-03-29 04:28:00,4911.823,4912.089,4911.823,4912.089,57,490,0
2025-03-29 04:29:00,4912.091,4912.359,4912.091,4912.359,54,490,0
2025-03-29 04:30:00,4912.37,4912.666,4912.37,4912.666,55,490,0
2025-03-29 04:31:00,4912.666,4912.951,4912.666,4912.951,57,490,0
2025-03-29 04:32:00,4912.952,4913.271,4912.952,4913.271,59,490,0
2025-03-29 04:33:00,4913.276,4913.563,4913.276,4913.563,51,490,0
2025-03-29 04:34:00,4913.564,4913.826,4913.564,4913.826,56,490,0
2025-03-29 04:35:00,4913.828,4914.163,4913.828,4914.163,57,490,0
2025-03-29 04:36:00,4914.173,4914.465,4914.173,4914.465,56,490,0
2025-03-29 04:37:00,4914.473,4914.742,4914.473,4914.742,60,490,0
2025-03-29 04:38:00,4914.748,4915.051,4914.748,4915.051,58,490,0
2025-03-29 04:39:00,4915.056,4915.32,4915.056,4915.32,55,490,0
2025-03-29 04:40:00,4915.32,4915.597,4915.32,4915.597,58,490,0
2025-03-29 04:41:00,4915.606,4915.851,4915.606,4915.851,56,490,0
2025-03-29 04:42:00,4915.859,4916.144,4915.859,4916.144,57,490,0
2025-03-29 04:43:00,4916.146,4916.459,4916.146,4916.459,59,490,0
2025-03-29 04:44:00,4916.468,4916.741,4916.468,4916.741,56,490,0
2025-03-29 04:45:00,4916.745,4916.895,4907.573,4907.673,55,490,0
2025-03-29 04:46:00,4907.675,4908.011,4907.675,4908.011,57,490,0
2025-03-29 04:47:00,4908.012,4908.323,4908.012,4908.323,59,490,0
2025-03-29 04:48:00,4908.324,4908.597,4908.324,4908.597,56,490,0
2025-03-29 04:49:00,4908.604,4908.908,4908.604,4908.908,56,490,0
2025-03-29 04:50:00,4908.908,4909.126,4906.917,4906.973,54,490,0
2025-03-29 04:51:00,4906.981,4907.273,4906.981,4907.273,57,490,0
2025-03-29 04:52:00,4907.276,4907.539,4907.276,4907.539,56,490,0
2025-03-29 04:53:00,4907.544,4907.87,4907.544,4907.87,58,490,0
2025-03-29 04:54:00,4907.872,4908.095,4907.872,4908.095,56,490,0
2025-03-29 04:55:00,4908.098,4908.373,4908.098,4908.373,54,490,0
2025-03-29 04:56:00,4908.375,4908.643,4908.375,4908.643,54,490,0
2025-03-29 04:57:00,4908.646,4908.941,4908.646,4908.941,57,490,0
2025-03-29 04:58:00,4908.945,4909.233,4908.945,4909.233,59,490,0
2025-03-29 04:59:00,4909.235,4909.502,4909.235,4909.502,58,490,0
2025-03-29 05:00:00,4909.514,4909.811,4909.514,4909.811,57,490,0
2025-03-29 05:01:00,4909.813,4910.118,4909.813,4910.118,59,490,0
2025-03-29 05:02:00,4910.128,4910.39,4910.128,4910.39,57,490,0
2025-03-29 05:03:00,4910.397,4910.726,4910.397,4910.726,56,490,0
2025-03-29 05:04:00,4910.729,4911.018,4910.729,4911.018,57,490,0
2025-03-29 05:05:00,4911.027,4911.331,4911.027,4911.331,59,490,0
2025-03-29 05:06:00,4911.332,4911.629,4911.332,4911.629,58,490,0
2025-03-29 05:07:00,4911.633,4911.933,4911.633,4911.933,58,490,0
2025-03-29 05:08:00,4911.935,4912.225,4911.935,4912.225,59,490,0
2025-03-29 05:09:00,4912.232,4912.471,4912.232,4912.471,56,490,0
2025-03-29 05:10:00,4912.473,4912.772,4912.473,4912.772,55,490,0
2025-03-29 05:11:00,4912.781,4913.109,4912.781,4913.109,59,490,0
2025-03-29 05:12:00,4913.116,4913.397,4913.116,4913.397,55,490,0
2025-03-29 05:13:00,4913.401,4913.678,4913.401,4913.678,55,490,0
2025-03-29 05:14:00,4913.689,4913.986,4913.689,4913.986,56,490,0
2025-03-29 05:15:00,4913.988,4914.25,4913.988,4914.25,56,490,0
2025-03-29 05:16:00,4914.259,4914.53,4914.259,4914.53,58,490,0
2025-03-29 05:17:00,4914.534,4914.846,4914.534,4914.846,59,490,0
2025-03-29 05:18:00,4914.849,4914.957,4909.282,4909.416,56,490,0
2025-03-29 05:19:00,4909.416,4909.741,4909.416,4909.741,57,490,0
2025-03-29 05:20:00,4909.746,4909.996,4909.746,4909.996,55,490,0
2025-03-29 05:21:00,4909.998,4910.27,4909.998,4910.27,58,490,0
2025-03-29 05:22:00,4910.27,4910.57,4910.27,4910.57,59,490,0
2025-03-29 05:23:00,4910.572,4910.85,4910.572,4910.85,58,490,0
2025-03-29 05:24:00,4910.856,4911.167,4910.856,4911.167,57,490,0
2025-03-29 05:25:00,4911.168,4911.445,4911.168,4911.445,54,490,0
2025-03-29 05:26:00,4911.447,4911.771,4911.447,4911.771,56,490,0
2025-03-29 05:27:00,4911.773,4912.086,4911.773,4912.086,60,490,0
2025-03-29 05:28:00,4912.093,4912.373,4912.093,4912.373,57,490,0
2025-03-29 05:29:00,4912.381,4912.704,4912.381,4912.704,57,490,0
2025-03-29 05:30:00,4912.704,4912.979,4899.86,4899.865,58,490,0
2025-03-29 05:31:00,4899.867,4900.163,4899.867,4900.163,58,490,0
2025-03-29 05:32:00,4900.173,4900.446,4900.173,4900.446,56,490,0
2025-03-29 05:33:00,4900.447,4900.717,4900.447,4900.717,54,490,0
2025-03-29 05:34:00,4900.729,4901.009,4900.729,4901.009,53,490,0
2025-03-29 05:35:00,4901.01,4901.323,4901.01,4901.323,56,490,0
2025-03-29 05:36:00,4901.328,4901.597,4901.328,4901.597,57,490,0
2025-03-29 05:37:00,4901.597,4901.894,4901.597,4901.894,56,490,0
2025-03-29 05:38:00,4901.895,4902.171,4901.895,4902.171,58,490,0
2025-03-29 05:39:00,4902.174,4902.438,4902.174,4902.438,58,490,0
